benchmark,status,solution
MPwoL_d5s3.sl,timeout,-
unbdd_inv_gen_fig6.sl,success,(= y y)
inv_gen_sum1.sl,timeout,-
t3.sl,success,(= y this.y)
qm_choose_01.sl,success,(ite (not (< 0 x)) 1 0)
constant.sl,success,0
mpg_guard4.sl,timeout,-
unbdd_inv_gen_finf2.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 2.65s
     Running `target/release/liasynth examples/cleaned-LIA/unbdd_inv_gen_finf2.sl`
Candidate: (= i i)
Candidate: (< i i)
Candidate: (< i n)

thread 'main' has overflowed its stack
fatal runtime error: stack overflow, aborting
Aborted (core dumped)
",-
t6.sl,timeout,-
inv_gen_trex4.sl,success,(= x x)
array_search_9.sl,timeout,-
array_search_8.sl,timeout,-
qm_neg_eq_4.sl,timeout,-
inv_gen_sum3.sl,success,(= x s)
qm_area_sel_2.sl,timeout,-
array_search_6.sl,timeout,-
array_search_7.sl,timeout,-
inv_gen_term2.sl,success,(= x x)
t7.sl,success,(< bufferIndex bufferIndex)
MPwoL_d1s7.sl,timeout,-
array_search_11.sl,timeout,-
inv_gen_fig9.sl,timeout,-
array_search_10.sl,timeout,-
t4.sl,timeout,-
mpg_plane2.sl,success,(+ (+ (+ (+ 1 x) x) (+ 1 1)) (+ (+ y x) (+ y y)))
qm_neg_5.sl,timeout,-
s0_d2.sl,timeout,-
unbdd_inv_gen_tcs.sl,timeout,-
t5.sl,success,MC_741360
t11.sl,success,(< 0 0)
unbdd_inv_gen_ex14.sl,success,(< 0 x)
unbdd_inv_gen_n_c11.sl,timeout,-
unbdd_inv_gen_trex4.sl,success,(= x x)
mpg_plane3.sl,timeout,-
qm_loop_2.sl,timeout,-
unbdd_inv_gen_sum4.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 3.30s
     Running `target/release/liasynth examples/cleaned-LIA/unbdd_inv_gen_sum4.sl`
Candidate: (= s s)
Candidate: (< s s)
Candidate: (= 0 s)
Candidate: (< (- s) 1)

thread 'main' has overflowed its stack
fatal runtime error: stack overflow, aborting
Aborted (core dumped)
",-
qm_max4.sl,timeout,-
array_search_14.sl,timeout,-
s0_d0.sl,timeout,-
max12.sl,timeout,-
inv_gen_fig8.sl,success,(= 0 l)
unbdd_inv_gen_fig8.sl,success,(= 0 l)
unbdd_inv_gen_fig1.sl,timeout,-
unbdd_inv_gen_term3.sl,success,(= x x)
MPwoL_d4s7.sl,timeout,-
max5.sl,timeout,-
inv_gen_trex2.sl,success,(= x x)
qm_neg_2.sl,success,(ite (and (< y 0) (< x 0)) 1 0)
inv_gen_winf2.sl,success,(= 0 x)
t1.sl,success,(< stopTime stopTime)
