benchmark,status,solution
inv_gen_fig1.sl,success,(or (<= (+ (* -1 y) (* -1 y)) -3) (<= (+ (* 1 x) (* 1 x)) -3))
unbdd_inv_gen_w2.sl,infeasible,-
unbdd_inv_gen_trex2.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
max3.sl,success,(ite (<= (ite (<= (ite (<= (ite (<= (ite (<= x z) y x) x) (ite (and (<= (ite (<= x z) y x) x) (<= x 0)) z (ite (<= z 1) (ite (<= x 0) y x) z)) y) y) y (ite (and (<= (ite (<= x z) y x) x) (<= x 0)) z (ite (<= z 1) (ite (<= x 0) y x) z))) x) x (ite (<= (ite (<= (ite (<= x z) y x) x) (ite (and (<= (ite (<= x z) y x) x) (<= x 0)) z (ite (<= z 1) (ite (<= x 0) y x) z)) y) y) y (ite (and (<= (ite (<= x z) y x) x) (<= x 0)) z (ite (<= z 1) (ite (<= x 0) y x) z)))) z) z (ite (<= (ite (<= (ite (<= (ite (<= x z) y x) x) (ite (and (<= (ite (<= x z) y x) x) (<= x 0)) z (ite (<= z 1) (ite (<= x 0) y x) z)) y) y) y (ite (and (<= (ite (<= x z) y x) x) (<= x 0)) z (ite (<= z 1) (ite (<= x 0) y x) z))) x) x (ite (<= (ite (<= (ite (<= x z) y x) x) (ite (and (<= (ite (<= x z) y x) x) (<= x 0)) z (ite (<= z 1) (ite (<= x 0) y x) z)) y) y) y (ite (and (<= (ite (<= x z) y x) x) (<= x 0)) z (ite (<= z 1) (ite (<= x 0) y x) z)))))
inv_gen_cgr1.sl,infeasible,-
inv_gen_finf1.sl,success,(and (= (+ (* -1 x) (* -1 x)) 0) (<= (+ (* 0 i) (* 0 i)) 1))
inv_gen_finf2.sl,success,(and (= (+ (* -1 x) (* -1 x)) 0) (<= (+ (* 0 i) (* 0 i)) 1))
array_search_15.sl,timeout,-
unbdd_inv_gen_cegar2.sl,infeasible,-
inv_gen_fig6.sl,success,(and (<= (+ (* 0 y) (* 0 y)) 2) (<= (+ (* 0 y) (* 0 y)) 2))
MPwL_d4s3.sl,timeout,-
unbdd_inv_gen_vmail.sl,success,(and (<= (+ (* -1 i) (* -1 i)) 0) (<= (+ (* 0 i) (* 0 i)) 0))
t15.sl,success,enabled
max4.sl,timeout,-
t8.sl,success,(< parentNode x2)
s0_d1.sl,timeout,-
mpg_example2.sl,timeout,-
unbdd_inv_gen_array.sl,infeasible,-
unbdd_inv_gen_fig9.sl,infeasible,-
LinExpr_eq2ex.sl,timeout,-
